Precision 	 Recall 	 mAP_0.5 	 mAP_0.50.95 0.8572 	 0.9692 	 0.0418 	 0.0186 	 0.1667 	 0.0106 	 0.0020 	 0.005950 
 0.7082 	 0.1120 	 0.0385 	 0.1889 	 0.2167 	 0.1235 	 0.0409 	 0.005901 
 0.6301 	 0.0928 	 0.0374 	 0.0641 	 0.2167 	 0.0543 	 0.0121 	 0.005851 
 0.6010 	 0.0868 	 0.0355 	 0.4876 	 0.4500 	 0.4702 	 0.2221 	 0.005801 
 0.5495 	 0.0839 	 0.0338 	 0.8649 	 0.2000 	 0.1952 	 0.0808 	 0.005752 
 0.5351 	 0.0809 	 0.0329 	 0.5362 	 0.5048 	 0.3540 	 0.0743 	 0.005702 
 0.5141 	 0.0799 	 0.0315 	 0.2439 	 0.4242 	 0.1295 	 0.0249 	 0.005652 
 0.5097 	 0.0783 	 0.0308 	 0.7174 	 0.2333 	 0.0451 	 0.0084 	 0.005602 
 0.5032 	 0.0761 	 0.0306 	 0.7397 	 0.1833 	 0.0823 	 0.0142 	 0.005553 
 0.4727 	 0.0773 	 0.0298 	 0.8159 	 0.1667 	 0.1169 	 0.0206 	 0.005503 
 0.4641 	 0.0748 	 0.0291 	 0.7646 	 0.1318 	 0.0745 	 0.0108 	 0.005453 
 0.4796 	 0.0722 	 0.0283 	 0.0126 	 0.2833 	 0.0066 	 0.0009 	 0.005404 
 0.4921 	 0.0701 	 0.0275 	 0.4750 	 0.2999 	 0.2422 	 0.0518 	 0.005354 
 0.4737 	 0.0693 	 0.0280 	 0.4889 	 0.6761 	 0.5591 	 0.1373 	 0.005304 
 0.4816 	 0.0688 	 0.0273 	 0.8221 	 0.2333 	 0.2074 	 0.0605 	 0.005255 
 0.4663 	 0.0666 	 0.0271 	 0.6479 	 0.4128 	 0.4288 	 0.1168 	 0.005205 
 0.4623 	 0.0665 	 0.0274 	 0.0466 	 0.3000 	 0.0499 	 0.0094 	 0.005155 
 0.4613 	 0.0644 	 0.0273 	 0.6102 	 0.6329 	 0.5126 	 0.1464 	 0.005105 
 0.4403 	 0.0651 	 0.0263 	 0.7353 	 0.6333 	 0.6355 	 0.2332 	 0.005056 
 0.4511 	 0.0638 	 0.0255 	 0.2359 	 0.3000 	 0.2579 	 0.0837 	 0.005006 
 0.4329 	 0.0626 	 0.0258 	 0.6249 	 0.5472 	 0.5376 	 0.1407 	 0.004956 
