box_loss 	 obj_loss 	 cls_loss 	 Precision 	 Recall 	 mAP@0.5 	 mAP@0.5_.95 	 lr 
 0.3656 	 0.0480 	 0.0218 	 0.7547 	 0.4166 	 0.5398 	 0.1355 	 0.001751 
 0.3683 	 0.0486 	 0.0222 	 0.6155 	 0.6667 	 0.6895 	 0.3091 	 0.001676 
 0.3518 	 0.0495 	 0.0218 	 0.6818 	 0.6639 	 0.6761 	 0.2852 	 0.001602 
 0.3578 	 0.0494 	 0.0221 	 0.5975 	 0.4993 	 0.4847 	 0.1425 	 0.001527 
 0.3518 	 0.0491 	 0.0214 	 0.5668 	 0.5500 	 0.5372 	 0.2443 	 0.001452 
 0.3482 	 0.0481 	 0.0215 	 0.8051 	 0.6700 	 0.7034 	 0.3212 	 0.001378 
 0.3459 	 0.0460 	 0.0213 	 0.8416 	 0.6687 	 0.7485 	 0.3665 	 0.001303 
 0.3428 	 0.0460 	 0.0212 	 0.8309 	 0.5478 	 0.6541 	 0.2404 	 0.001229 
 0.3437 	 0.0453 	 0.0213 	 0.8987 	 0.6167 	 0.7414 	 0.3343 	 0.001154 
 0.3272 	 0.0471 	 0.0210 	 0.4953 	 0.4807 	 0.4722 	 0.1666 	 0.001080 
 0.3503 	 0.0460 	 0.0210 	 0.7980 	 0.7149 	 0.7653 	 0.3338 	 0.001005 
 0.3448 	 0.0465 	 0.0210 	 0.7558 	 0.6824 	 0.7028 	 0.2912 	 0.000931 
 0.3350 	 0.0452 	 0.0207 	 0.6498 	 0.6374 	 0.6162 	 0.2298 	 0.000856 
 0.3325 	 0.0461 	 0.0209 	 0.9312 	 0.6490 	 0.7961 	 0.3752 	 0.000782 
 0.3245 	 0.0457 	 0.0207 	 0.7647 	 0.6818 	 0.7032 	 0.3061 	 0.000707 
 0.3188 	 0.0447 	 0.0205 	 0.5833 	 0.7332 	 0.6777 	 0.3311 	 0.000632 
 0.3285 	 0.0461 	 0.0206 	 0.5892 	 0.7333 	 0.6265 	 0.2697 	 0.000558 
 0.3306 	 0.0454 	 0.0205 	 0.7239 	 0.6500 	 0.7009 	 0.3430 	 0.000483 
 0.3159 	 0.0444 	 0.0204 	 0.9382 	 0.7386 	 0.7827 	 0.3646 	 0.000409 
 0.3132 	 0.0444 	 0.0203 	 0.8172 	 0.6498 	 0.7304 	 0.3646 	 0.000334 
 0.3125 	 0.0449 	 0.0204 	 0.8963 	 0.7030 	 0.7611 	 0.3682 	 0.000260 
 0.3186 	 0.0446 	 0.0207 	 0.8104 	 0.6660 	 0.7290 	 0.3738 	 0.000185 
 0.3058 	 0.0439 	 0.0202 	 0.8665 	 0.6950 	 0.7444 	 0.3600 	 0.000111 
 0.3069 	 0.0436 	 0.0202 	 0.7954 	 0.7000 	 0.7380 	 0.3707 	 0.000036 
