box_loss 	 obj_loss 	 cls_loss 	 Precision 	 Recall 	 mAP@0.5 	 mAP@0.5_.95 	 lr 
 0.0617 	 0.0319 	 0.0126 	 0.9565 	 0.9426 	 0.9683 	 0.5307 	 0.003734 
 0.0638 	 0.0327 	 0.0133 	 0.8266 	 0.8835 	 0.9274 	 0.4742 	 0.003694 
 0.0623 	 0.0321 	 0.0130 	 0.8692 	 0.9473 	 0.9614 	 0.4850 	 0.003654 
 0.0595 	 0.0309 	 0.0126 	 0.8531 	 0.9073 	 0.9329 	 0.4401 	 0.003614 
 0.0593 	 0.0306 	 0.0125 	 0.8176 	 0.9224 	 0.9492 	 0.4963 	 0.003575 
 0.0614 	 0.0312 	 0.0121 	 0.8919 	 0.8729 	 0.9376 	 0.4807 	 0.003535 
 0.0585 	 0.0316 	 0.0126 	 0.8499 	 0.9167 	 0.9465 	 0.4801 	 0.003495 
 0.0591 	 0.0316 	 0.0122 	 0.9186 	 0.9598 	 0.9682 	 0.4967 	 0.003455 
 0.0576 	 0.0306 	 0.0119 	 0.8469 	 0.9304 	 0.9507 	 0.4910 	 0.003416 
 0.0585 	 0.0313 	 0.0124 	 0.9421 	 0.9167 	 0.9483 	 0.4626 	 0.003376 
 0.0581 	 0.0308 	 0.0117 	 0.9226 	 0.9052 	 0.9606 	 0.4710 	 0.003336 
 0.0564 	 0.0296 	 0.0122 	 0.9218 	 0.9498 	 0.9602 	 0.5363 	 0.003296 
 0.0577 	 0.0312 	 0.0123 	 0.9639 	 0.9162 	 0.9667 	 0.4765 	 0.003257 
 0.0548 	 0.0289 	 0.0120 	 0.9000 	 0.9495 	 0.9697 	 0.5387 	 0.003217 
 0.0563 	 0.0301 	 0.0123 	 0.9894 	 0.9166 	 0.9740 	 0.5030 	 0.003177 
 0.0536 	 0.0299 	 0.0117 	 0.9079 	 0.9314 	 0.9562 	 0.5503 	 0.003137 
 0.0574 	 0.0311 	 0.0124 	 0.9253 	 0.9319 	 0.9483 	 0.4879 	 0.003098 
 0.0553 	 0.0297 	 0.0121 	 0.9791 	 0.8911 	 0.9613 	 0.5626 	 0.003058 
 0.0559 	 0.0296 	 0.0119 	 0.8768 	 0.9498 	 0.9608 	 0.5535 	 0.003018 
 0.0536 	 0.0295 	 0.0116 	 0.9581 	 0.8946 	 0.9621 	 0.4643 	 0.002978 
 0.0561 	 0.0292 	 0.0122 	 0.8919 	 0.8499 	 0.9155 	 0.4641 	 0.002938 
 0.0549 	 0.0289 	 0.0120 	 0.9187 	 0.9443 	 0.9595 	 0.5288 	 0.002899 
 0.0536 	 0.0300 	 0.0116 	 0.8916 	 0.9000 	 0.9446 	 0.5635 	 0.002859 
 0.0515 	 0.0293 	 0.0113 	 0.8804 	 0.9500 	 0.9544 	 0.4754 	 0.002819 
 0.0533 	 0.0282 	 0.0116 	 0.9439 	 0.9287 	 0.9641 	 0.5205 	 0.002779 
 0.0541 	 0.0291 	 0.0117 	 0.9637 	 0.9328 	 0.9670 	 0.4987 	 0.002740 
 0.0523 	 0.0290 	 0.0113 	 0.9286 	 0.9124 	 0.9585 	 0.5247 	 0.002700 
 0.0518 	 0.0290 	 0.0114 	 0.9160 	 0.9045 	 0.9533 	 0.5251 	 0.002660 
 0.0523 	 0.0285 	 0.0114 	 0.8705 	 0.8621 	 0.9119 	 0.4478 	 0.002620 
 0.0541 	 0.0285 	 0.0115 	 0.9326 	 0.9333 	 0.9561 	 0.5478 	 0.002581 
 0.0530 	 0.0283 	 0.0115 	 0.9105 	 0.9072 	 0.9529 	 0.5694 	 0.002541 
 0.0516 	 0.0293 	 0.0109 	 0.9845 	 0.8792 	 0.9463 	 0.5058 	 0.002501 
 0.0524 	 0.0297 	 0.0112 	 0.9036 	 0.9497 	 0.9488 	 0.5627 	 0.002461 
 0.0523 	 0.0288 	 0.0112 	 0.9542 	 0.9332 	 0.9615 	 0.5474 	 0.002422 
 0.0508 	 0.0285 	 0.0110 	 0.9029 	 0.9083 	 0.9364 	 0.5229 	 0.002382 
 0.0517 	 0.0291 	 0.0111 	 0.8887 	 0.8904 	 0.9163 	 0.4520 	 0.002342 
 0.0521 	 0.0278 	 0.0113 	 0.9386 	 0.9281 	 0.9584 	 0.5580 	 0.002302 
 0.0506 	 0.0285 	 0.0111 	 0.9010 	 0.9165 	 0.9386 	 0.5055 	 0.002263 
 0.0508 	 0.0282 	 0.0112 	 0.8730 	 0.9167 	 0.9570 	 0.5076 	 0.002223 
 0.0511 	 0.0283 	 0.0116 	 0.8505 	 0.9464 	 0.9500 	 0.5049 	 0.002183 
 0.0506 	 0.0281 	 0.0109 	 0.8459 	 0.9164 	 0.9371 	 0.5031 	 0.002143 
 0.0510 	 0.0281 	 0.0114 	 0.8587 	 0.8500 	 0.9300 	 0.4938 	 0.002104 
 0.0486 	 0.0285 	 0.0103 	 0.9273 	 0.8874 	 0.9313 	 0.5540 	 0.002064 
 0.0498 	 0.0277 	 0.0108 	 0.9045 	 0.9353 	 0.9438 	 0.5391 	 0.002024 
 0.0499 	 0.0273 	 0.0110 	 0.8924 	 0.9237 	 0.9373 	 0.4930 	 0.001984 
 0.0489 	 0.0284 	 0.0112 	 0.9479 	 0.9167 	 0.9620 	 0.5930 	 0.001944 
 0.0486 	 0.0280 	 0.0105 	 0.8650 	 0.8834 	 0.9291 	 0.4953 	 0.001905 
 0.0485 	 0.0271 	 0.0110 	 0.8862 	 0.9259 	 0.9457 	 0.5133 	 0.001865 
 0.0476 	 0.0269 	 0.0107 	 0.9543 	 0.8830 	 0.9528 	 0.5248 	 0.001825 
 0.0483 	 0.0284 	 0.0102 	 0.8883 	 0.9500 	 0.9479 	 0.5916 	 0.001785 
 0.0496 	 0.0276 	 0.0107 	 0.9231 	 0.8833 	 0.9418 	 0.5548 	 0.001746 
 0.0479 	 0.0278 	 0.0106 	 0.9197 	 0.9167 	 0.9461 	 0.5602 	 0.001706 
 0.0474 	 0.0274 	 0.0109 	 0.8969 	 0.9332 	 0.9540 	 0.5982 	 0.001666 
 0.0484 	 0.0280 	 0.0104 	 0.9040 	 0.9376 	 0.9539 	 0.5625 	 0.001626 
 0.0475 	 0.0274 	 0.0108 	 0.9017 	 0.9339 	 0.9471 	 0.5358 	 0.001587 
 0.0479 	 0.0270 	 0.0106 	 0.8626 	 0.9453 	 0.9364 	 0.5381 	 0.001547 
 0.0483 	 0.0273 	 0.0113 	 0.9270 	 0.9610 	 0.9679 	 0.5563 	 0.001507 
 0.0457 	 0.0268 	 0.0099 	 0.9179 	 0.9164 	 0.9515 	 0.5516 	 0.001467 
 0.0493 	 0.0273 	 0.0108 	 0.9056 	 0.9493 	 0.9544 	 0.5676 	 0.001428 
 0.0486 	 0.0277 	 0.0108 	 0.9095 	 0.9186 	 0.9428 	 0.5723 	 0.001388 
 0.0485 	 0.0274 	 0.0107 	 0.8775 	 0.9333 	 0.9500 	 0.6110 	 0.001348 
 0.0470 	 0.0272 	 0.0108 	 0.9115 	 0.9353 	 0.9585 	 0.5992 	 0.001308 
 0.0468 	 0.0261 	 0.0105 	 0.9148 	 0.9451 	 0.9677 	 0.5614 	 0.001269 
 0.0462 	 0.0270 	 0.0104 	 0.8887 	 0.9165 	 0.9365 	 0.5814 	 0.001229 
 0.0459 	 0.0266 	 0.0103 	 0.9621 	 0.9166 	 0.9538 	 0.6047 	 0.001189 
 0.0449 	 0.0267 	 0.0098 	 0.8962 	 0.9112 	 0.9512 	 0.5869 	 0.001149 
 0.0466 	 0.0265 	 0.0108 	 0.9390 	 0.9176 	 0.9527 	 0.5847 	 0.001110 
 0.0441 	 0.0266 	 0.0100 	 0.9222 	 0.9166 	 0.9341 	 0.5734 	 0.001070 
 0.0465 	 0.0259 	 0.0105 	 0.9399 	 0.9447 	 0.9617 	 0.5652 	 0.001030 
 0.0460 	 0.0267 	 0.0101 	 0.9627 	 0.8684 	 0.9473 	 0.5954 	 0.000990 
 0.0454 	 0.0260 	 0.0103 	 0.9471 	 0.9027 	 0.9476 	 0.5659 	 0.000950 
 0.0456 	 0.0264 	 0.0103 	 0.9344 	 0.8997 	 0.9492 	 0.5467 	 0.000911 
 0.0453 	 0.0264 	 0.0101 	 0.9274 	 0.9006 	 0.9571 	 0.5470 	 0.000871 
 0.0458 	 0.0265 	 0.0106 	 0.9597 	 0.9000 	 0.9528 	 0.5832 	 0.000831 
 0.0445 	 0.0260 	 0.0104 	 0.9541 	 0.9000 	 0.9549 	 0.5695 	 0.000791 
 0.0436 	 0.0263 	 0.0103 	 0.9567 	 0.9167 	 0.9402 	 0.5876 	 0.000752 
 0.0443 	 0.0260 	 0.0099 	 0.9656 	 0.9226 	 0.9540 	 0.5734 	 0.000712 
 0.0440 	 0.0255 	 0.0098 	 0.9132 	 0.9622 	 0.9484 	 0.5858 	 0.000672 
